service_order_id,equipment_serial,order_date,completion_date,order_type,description,technician_notes,parts_referenced,status
SO-200001,SN-10001,2011-10-16,2011-10-27,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Applied kit. Old parts removed and returned.,3495990-01001,Closed
SO-200002,SN-10001,2016-11-19,,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Kit 3495990-01001 applied. Customer signed off.,3495990-01001,Closed
SO-200003,SN-10001,2019-09-15,2019-09-16,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Kit 3496500-01004 applied. Customer signed off.,3496500-01004,Closed
SO-200004,SN-10001,2013-06-17,2013-06-25,Emergency Repair,Emergency Repair on Cap Application Unit A8 at Gandhinagar Plant 2,,,Open
SO-200005,SN-10001,2014-12-11,2014-12-19,Emergency Repair,Emergency Repair on Cap Application Unit A8 at Gandhinagar Plant 2,,,Closed
SO-200006,SN-10001,2017-09-01,2017-09-07,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Gandhinagar Plant 2,Maintenance done per TPMS schedule. No issues found.,,Technically Complete
SO-200007,SN-10001,2015-05-31,2015-06-01,Upgrade,Upgrade on Cap Application Unit A8 at Gandhinagar Plant 2,,3496500-01004,Closed
SO-200008,SN-10001,2014-05-12,2014-05-22,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Gandhinagar Plant 2,Routine check OK. Customer asked about available upgrades.,,Open
SO-200009,SN-10002,2032-04-28,2032-04-30,Corrective Maintenance,Corrective Maintenance on Accumulator 30 at Gandhinagar Plant 2,Emergency stop traced to sensor fault. HMI panel showing age.,,Technically Complete
SO-200010,SN-10002,2032-09-09,2032-09-17,Preventive Maintenance,Preventive Maintenance on Accumulator 30 at Gandhinagar Plant 2,Routine check OK. Customer asked about available upgrades.,,Closed
SO-200011,SN-10002,2024-04-28,2024-05-09,Corrective Maintenance,Corrective Maintenance on Accumulator 30 at Gandhinagar Plant 2,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Closed
SO-200012,SN-10004,2029-10-21,2029-10-31,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Open
SO-200013,SN-10004,2021-09-21,2021-09-22,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Stockholm Dairy,Kit 3495880-01003 applied. Customer signed off.,3495880-01003,Open
SO-200014,SN-10004,2026-12-16,2026-12-25,Corrective Maintenance,Corrective Maintenance on Tetra Pak A3/Speed at Stockholm Dairy,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Open
SO-200015,SN-10004,2029-10-08,2029-10-08,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Stockholm Dairy,Standard PM completed. All within spec.,,Closed
SO-200016,SN-10004,2030-12-16,2030-12-28,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Stockholm Dairy,Kit installed but validation pending next production run.,3496200-01002,Open
SO-200017,SN-10005,2019-04-26,2019-04-30,Kit Installation,Kit Installation on Tetra Pak A3/Flex at Waikato Processing,Kit 3495770-02003 applied. Customer signed off.,3495770-02003,Technically Complete
SO-200018,SN-10007,2015-05-08,2015-05-08,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 21 at Laval Facility,,,Closed
SO-200019,SN-10007,2016-12-10,2016-12-13,Upgrade,Upgrade on Tetra Brik Aseptic 21 at Laval Facility,,3495770-01002,Closed
SO-200020,SN-10007,2018-10-25,2018-11-05,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 21 at Laval Facility,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Closed
